FOLDER,LIGAND_ENTRY,TOTAL_SCORE,SMILES
file18,A5584_entry_00246_conf_01,-123.854,COC(=O)C[C@H]1CC[C@H](Cc2ccc(Cc3cc(c4cccnc4N)on3)cc2)CC1
file11,A3244_entry_00104_conf_01,-123.79,CN(C)CCCOc1ccc(CN(C)Cc2cccc3ccccc23)cc1
file6,A1732_entry_00162_conf_01,-123.74,CCCN(CCC)CCOC(=O)Cc1ccccc1c1ccccc1
file12,A3620_entry_00166_conf_01,-123.67,COc1ccc(CN2CCN([C@H](C)[C@](O)(Cn3cncn3)c3ccc(F)cc3F)CC2)c(F)c1
file12,A3649_entry_00195_conf_01,-122.922,C[C@@H](N1CC=C(c2cccc(F)c2)CC1)[C@](O)(Cn1cncn1)c1ccc(F)cc1F
file9,A2586_entry_00074_conf_01,-122.786,CN(CC#CCCc1ccccc1)Cc1cccc2ccccc12
file18,A5576_entry_00238_conf_01,-122.586,Nc1ncccc1c1cc(Cc2ccc(COCCN3CCCC3)cc2)no1
file15,A4678_entry_00282_conf_01,-122.539,CN1CCN(C/C=C/CN(C)Cc2cccc3ccccc23)CC1
file11,A3201_entry_00061_conf_01,-122.377,CN(Cc1ccc(CCCN)cc1)Cc1cccc2ccccc12
file10,A3121_entry_00295_conf_01,-122.129,OCCCc1ccc(CO[C@@H](Cn2ccnc2)c2ccc(F)cc2Cl)cc1
file11,A3250_entry_00110_conf_01,-121.684,CN(C)CCCN(Cc1ccccc1)Cc1cccc2ccccc12
file11,A3213_entry_00073_conf_01,-121.303,COC(=O)CCc1ccc(CN(C)Cc2cccc3ccccc23)cc1
file11,A3254_entry_00114_conf_01,-121.101,CN(C)Cc1ccc(CN(C)Cc2cccc3ccccc23)cc1
file15,A4680_entry_00284_conf_01,-120.996,CN(C)CC#C/C=C/CN(C)Cc1cccc2ccccc12
file11,A3253_entry_00113_conf_01,-120.543,CN(Cc1ccc(CCCCN)cc1)Cc1cccc2ccccc12
file11,A3266_entry_00126_conf_01,-120.477,CN(C)CCc1ccc(CN(C)Cc2cccc3ccccc23)cc1
file15,A4449_entry_00053_conf_01,-120.454,O[C@](CN1CCN(Cc2cccs2)CC1)(Cn1cncn1)c1ccc(F)cc1F
file11,A3181_entry_00041_conf_01,-120.304,CC(=O)N(C)Cc1ccc(CN(C)Cc2cccc3ccccc23)cc1
file11,A3243_entry_00103_conf_01,-120.178,C[C@H](O)c1ccc(CN(C)Cc2cccc3ccccc23)cc1
file18,A5586_entry_00248_conf_01,-120.173,COC(=O)CC1CCN(Cc2ccc(Cc3cc(c4cccnc4N)on3)cc2)CC1
file11,A3223_entry_00083_conf_01,-120.103,CN(C)CCOc1ccc(CN(C)Cc2cccc3ccccc23)cc1
file11,A3210_entry_00070_conf_01,-119.85,CCN(Cc1ccc(C(=O)O)cc1)Cc1cccc2ccccc12
file9,A2619_entry_00107_conf_01,-119.538,OCCc1ccc(CO[C@@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1
file16,A4734_entry_00024_conf_01,-119.404,C[C@H](N)CCC/C=C/CN(C)Cc1cccc2ccccc12
file12,A3517_entry_00063_conf_01,-119.231,C[C@@H](N1CCN(Cc2ccccc2)CC1)[C@](O)(Cn1cncn1)c1ccc(F)cc1F
file1,A137_entry_00137_conf_01,-119.098,OC[C@H](CCc1ccccc1)[C@@H]1CO[C@@](Cn2ccnc2)(c2ccc(Cl)cc2Cl)O1
file15,A4533_entry_00137_conf_01,-119.054,CCc1ccc(CO[C@@H](Cn2ccnc2)c2ccc(F)cc2F)c(F)c1
file9,A2561_entry_00049_conf_01,-119.03,C#CCN(C)C/C=C/CN(C)Cc1cccc2ccccc12
file11,A3208_entry_00068_conf_01,-118.945,CN1CCN(c2ccc(CN(C)Cc3cccc4ccccc34)cc2)CC1
file11,A3228_entry_00088_conf_01,-118.867,CN(Cc1ccc(C(F)(F)F)cc1)Cc1ccnc2ccccc12
file15,A4695_entry_00299_conf_01,-118.835,CN(C/C=C/C#CC1(O)CCCCC1)Cc1cccc2ccccc12
file9,A2539_entry_00027_conf_01,-118.724,CN(C)CCC/C=C/CN(C)Cc1cccc2ccccc12
file12,A3742_entry_00288_conf_01,-118.668,CC(C)NCC(=O)N[C@H]1CCN([C@H](C)[C@](O)(Cn2cncn2)c2ccc(F)cc2F)C1
file9,A2551_entry_00039_conf_01,-118.501,CN(CC#CCc1ccccc1)Cc1cccc2ccccc12
file15,A4686_entry_00290_conf_01,-118.47,C[C@@H]1CCN(C/C=C/CN(C)Cc2cccc3ccccc23)CC1
file7,A2022_entry_00138_conf_01,-118.427,Cc1ccccc1CO[C@H]1c2cc(F)ccc2S[C@@H]1Cn1ccnc1
file16,A4735_entry_00025_conf_01,-118.357,CN(Cc1cccc2ccccc12)C[C@H](O)CC#CC(C)(C)C
file8,A2477_entry_00279_conf_01,-118.27,CN(CCCc1ccccc1)Cc1cccc2ccccc12
file12,A3509_entry_00055_conf_01,-118.146,C[C@@H](N1Cc2ccc(C#N)cc2C1)[C@](O)(Cn1cncn1)c1ccc(F)cc1F
file7,A1947_entry_00063_conf_01,-118.018,C=CCN(CC=C)Cc1nc2ccccc2n1Cc1ccc(Cl)cc1
file12,A3491_entry_00037_conf_01,-117.774,C[C@@H](N1CCc2cc(F)ccc2C1)[C@](O)(Cn1cncn1)c1ccc(F)cc1F
file11,A3174_entry_00034_conf_01,-117.578,CN(Cc1ccc(C(F)(F)F)cc1)Cc1cccc2cccnc12
file12,A3685_entry_00231_conf_01,-117.571,C[C@H](c1ccccc1)N1CCN([C@H](C)[C@](O)(Cn2cncn2)c2ccc(F)cc2F)CC1
file18,A5593_entry_00255_conf_01,-117.423,Nc1ncccc1c1cc(Cc2ccc(CN3CCC(O)CC3)cc2)no1
file15,A4676_entry_00280_conf_01,-117.323,CN(C/C=C/C#CC(C)(C)O)CCCc1cccc2ccccc12
file11,A3249_entry_00109_conf_01,-117.317,CN(Cc1ccc(CCCO)cc1)Cc1cccc2ccccc12
file15,A4451_entry_00055_conf_01,-117.245,O[C@](CNCCc1ccccn1)(Cn1cncn1)c1ccc(F)cc1F
file15,A4522_entry_00126_conf_01,-117.029,OCCCN(Cc1ccncc1)C[C@@](O)(Cn1cncn1)c1ccc(F)cc1F
file11,A3308_entry_00168_conf_01,-116.937,COc1ccc(CC[C@@H](Cn2ccnc2)Sc2ccc(C)cc2)cc1
file18,A5569_entry_00231_conf_01,-116.837,COC1CCN(Cc2ccc(Cc3cc(c4cccnc4N)on3)cc2)CC1
file9,A2618_entry_00106_conf_01,-116.822,OCCc1ccc(CO[C@@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1
file11,A3214_entry_00074_conf_01,-116.732,CN(Cc1ccc(CCN)cc1)Cc1cccc2ccccc12
file12,A3603_entry_00149_conf_01,-116.716,C[C@@H](N1CC[C@H](c2ccccc2)CC1)[C@](O)(Cn1cncn1)c1ccc(F)cc1F
file12,A3562_entry_00108_conf_01,-116.71,C[C@@H](N1Cc2cccnc2C1)[C@](O)(Cn1cncn1)c1ccc(F)cc1F
file19,A5855_entry_00203_conf_01,-116.676,CC1=CC(=O)[N+](C(=C1)C[C@H](C)CC(C)(C)C)COCc1ccccc1
file11,A3184_entry_00044_conf_01,-116.63,C#CCN(C)Cc1ccc(CN(C)Cc2cccc3ccccc23)cc1
